37,1,A001,1800027,PD BPR MUSTAQIM SUKAMAKMUR,,2018-01-10,30/03/2019,193/PKS-ADD/BSP/IX/2018,ADD,1,4,,Aktif
38,8,A008,1800028,"PT ADI SARANA ARMADA, TBK",,2018-01-01,31/12/2018,053/PKS-AMD/BSP/II/2018,AMD,1,78,,Aktif
39,8,A008,1800029,PT ADI SARANA LELANG,,2018-01-01,31/12/2018,075/PKS/BSP/III/2018,PKS,1,11,,Aktif
40,8,A008,1800030,"PT ADIRA DINAMIKA MULTI FINANCE, TBK",,2018-01-06,31/12/2019,004-ADD/HCGA-ADMF/LGL/III/2018,ADD,1,599,,Aktif
41,5,A005,1800031,PT ADITYA SARANA GRAHA,,21/08/2018,20/08/2019,224/PKS/BSPVIII/2018,PKS,1,3,,Aktif
42,5,A005,1800032,PT ADITYASEJAHTERA GRAHA,,26/12/2017,25/12/2018,070/PKS-AMD/BSP/II/2018,AMD,1,1,,Aktif
43,2,A002,1800032,PT AGUNG AUTOMALL,,2018-01-01,31/12/2018,018/PKS-AMD/BSP/I/2018,AMD,1,14,,Aktif
44,5,A005,1800033,PT ALTRAK 1978,,2018-01-01,31/12/2018,019/PPJTK-GAI/XII/2017,PKS,1,1,,Aktif
45,4,A004,1800034,PT ANEKA HUSADA,,22/03/2018,22/03/2019,098/PKS-AMD/BSP/III/2018,AMD,1,3,,Aktif
46,1,A001,1800035,PT ANG RUKUN SEJAHTERA,,2018-01-07,31/12/2018,216/PKS-AMD/BSP/VII/2018,AMD,1,1,,Aktif
47,8,A008,1800036,PT ANUGERAH PHARMINDO LESTARI,,2018-01-04,31/03/2019,086/PKS-AMD/BSP/III/2018,AMD,1,275,,Aktif
48,4,A004,1800037,PT APP TIMBER,,19/06/2018,18/06/2018,253/PKS-AMD/BSP/IX/2018,AMD,1,4,,Aktif
49,1,A001,1800038,PT ARAU PERMAI LESTARI,,2018-01-10,30/09/2019,252/PKS-AMD/BSP/IX/2018,AMD,1,3,,Aktif
50,1,A001,1800039,PT ARISTA AUTO PRIMA,,2018-01-04,31/03/2019,147/PKS-ADD/BSP/IV/2018,ADD,1,6,,Aktif
51,1,A001,1800040,PT ARISTA SUKSES MANDIRI,,2018-01-08,31/07/2019,191/PKS-ADD/BSP/VII/2018,ADD,1,3,,Aktif
52,1,A001,1800041,PT ARMADA BANDA JAYA,,2018-01-07,30/06/2019,207/PKS-ADD/BSP/VI/2018,ADD,1,5,,Aktif
53,5,A005,1800042,PT ASIAN BEARINDO JAYA,,16/02/2018,15/02/2019,058/PKS-AMD/BSP/II/2018,AMD,1,3,,Aktif
54,4,A004,1800043,PT ASIANAGRO AGUNG JAYA,,2018-02-01,2019-01-01,200/PKS/BSP/VII/2018,PKS,1,4,,Aktif
55,4,A004,1800044,PT AST INDONESIA,,2018-01-01,31/12/2018,210/PKS/BSP/VII/2018,PKS,1,6,,Aktif
56,4,A004,1800045,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,042/PKS-AMD/BSP/II/2018,AMD,1,29,,Aktif
57,6,A006,1800046,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,088/PKS-AMD/BSP/III/2018,AMD,1,12,,Aktif
58,4,A004,1800047,"PT ASTRA INTERNATIONAL, TBK",,2018-01-03,28/02/2019,048/PKS-AMD/BSP/II/2018,AMD,1,3,,Aktif
59,2,A002,1800048,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,003/PKS/HSO-PLB/I/2018,PKS,1,14,,Aktif
60,6,A006,1800049,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,087/PKS-AMD/BSP/III/2018,AMD,1,4,,Aktif
61,4,A004,1800050,"PT ASTRA INTERNATIONAL, TBK",,2018-01-09,31/12/2018,269/PKS-AMD/BSP/X/2018,AMD,1,2,,Aktif
62,4,A004,1800051,"PT ASTRA INTERNATIONAL, TBK",,2017-06-12,2018-05-12,047/PKS-AMD/BSP/II/2018,AMD,1,3,,Aktif
63,4,A004,1800051,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,046/PKS-AMD/BSP/II/2018,AMD,1,1,,Aktif
64,4,A004,1800052,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,045/PKS-AMD/BSP/II/2018,AMD,1,1,,Aktif
65,2,A002,1800053,"PT ASTRA INTERNATIONAL, TBK",,2018-01-01,31/12/2018,329/PKS/BSP/XII/2017,PKS,1,11,,Aktif
66,4,A004,1800054,"PT ASTRA INTERNATIONAL, TBK",,2018-01-03,20/02/2019,129/PKS/BSP/IV/2018,PKS,1,3,,Aktif
67,4,A004,1800055,"PT ASTRA INTERNATIONAL, TBK",,2018-01-04,2019-01-04,128/PKS/BSP/IV/2018,PKS,1,3,,Aktif
68,4,A004,1800056,"PT ASTRA INTERNATIONAL, TBK",,15/05/2018,31/12/2018,215/PKS/BSP/VII/2018,PKS,1,0,,Aktif
69,3,A003,1800057,"PT ASTRA OTOPARTS, TBK",,2018-01-01,31/12/2018,049/PKS/BSP/II/2018,PKS,1,1,,Aktif
70,8,A008,1800058,PT ASURANSI ADIRA DINAMIKA,,2017-01-04,31/03/2018,205-D/AAD-LEG-AGR/VIII/2017,PKS,1,35,,Aktif
71,8,A008,1800058,PT ASURANSI ALLIANZ LIFE INDONESIA,,2018-01-07,31/12/2019,188/PKS/BSP/IX//2016,PKS,1,21,,Aktif
72,8,A008,1800059,PT ASURANSI ALLIANZ UTAMA INDONESIA,,2018-01-07,31/12/2019,187/PKS/BSP/IX/2016,PKS,1,6,,Aktif
73,3,A003,1800060,PT ASURANSI JIWA SEQUIS LIFE,,2018-01-01,31/12/2018,077/PKS-AMD/BSP/III/2018,AMD,1,2,,Aktif
74,5,A005,1800061,PT ATLANTIC ANUGRAH METALINDO,,2018-01-07,31/12/2018,187/PKS-AMD/BSP/VII/2018,AMD,1,5,,Aktif
75,3,A003,1800062,PT AUTOTECH INDONESIA,,2017-01-11,30/10/2018,283/PKS-AMD/BSP/X/2018,AMD,1,13,,Aktif
76,5,A005,1800062,PT BALI AGUNG WATERS,,2018-01-04,2018-01-10,133/PKS-AMD/BSP/IV/2018,AMD,1,4,,Aktif
77,4,A004,1800063,PT BANGUN TRIPATRIAJATI,,2018-01-01,31/12/2018,069/PKS-AMD/BSP/II/2018,AMD,1,15,,Aktif
78,1,A001,1800064,"PT BANK ACEH, TBK",,2017-01-02,2019-01-02,059/PKS-ADD/BSP/II/2017,ADD,1,226,,Aktif
