32,1808032,AREA JAWA I,NUSA TYOTETSU ENGINEERING,Kawasan Industri Mitra Jl. Mitra Raya IV Blok L-5,1-Apr-20,31-Mar-21,AKTIF,1
33,1808033,AREA JAWA I,PRIMA VISTA SOLUSI ,Tanggerang,21-Oct-19,20-Oct-20,AKTIF,1
34,1808034,AREA JAWA I,RECKIT BENCKISER INDONESIA,Jalan Raya Narogong KM 15 Desa Limusnunggal Cileungsi Bogor,1-Jun-20,31-May-21,AKTIF,1
35,1808035,AREA JAWA I,RESTOMART CIPTA USAHA,Jakarta,1-Nov-18,31-Oct-19,AKTIF,1
36,1808036,AREA JAWA I,RODAMAS,Jl. Letjen S. Parman Kav. 32-34 Slipi Jakarta Barat,1-Jan-20,31-Dec-20,AKTIF,1
37,1808037,AREA JAWA I,SANITAS,Jl. Pasuketan No. 91/93 Cirebon,1-Jan-20,31-Dec-20,AKTIF,1
38,1808038,AREA JAWA I,SELAMAT LESTARI MANDIRI,Jl. KH. Ahmad Sanusi No. 111 Sukabumi,1-Jan-20,31-Dec-20,AKTIF,1
39,1808039,AREA JAWA I,PT SUBUR MITRA GRAFISTAMA,Jl. Wolter Monginsidi No. 70-72 Kebayoran Baru Jakarta Selatan 12170,1-Jan-20,31-Dec-20,AKTIF,1
40,1808040,AREA JAWA I,SUMBERDAYA SEWATAMA,Depo Pulogadung Jakarta Timur & Cileungsi,1-Jan-20,31-Dec-20,AKTIF,1
41,1808041,AREA JAWA I,SUPERNOVA FLEXIBLE PACKAGING,,1-Jan-20,31-Dec-20,AKTIF,1
42,1808042,AREA JAWA I,SWAKARYA INSAN MANDIRI,,1-Feb-20,31-Dec-20,AKTIF,1
43,1808043,AREA JAWA I,TATSUMI INDONESIA,Kawasan Industri Kota Bukit Indah Blok D III/Kec. Bungursari Kab. Purwakarta,1-Apr-20,31-Mar-21,AKTIF,1
44,1808044,AREA JAWA I,THE ASIA FOUNDATION,"Jalan Barito II No. 41 Kebayoran Baru, Jakarta Selatan",1-Feb-20,31-Jan-21,AKTIF,1
45,1808045,AREA JAWA I,TUMBAKMAS NIAGA SAKTI ,"Kedoya, Bogor, Sunter, Serang, Cibatu, Pasar Rebo, Tangerang",1-Jan-20,31-Dec-20,AKTIF,1
46,1808046,AREA JAWA I,TUMBAKMAS NIAGA SAKTI,,1-Jan-20,31-Dec-20,AKTIF,1
47,1808047,AREA JAWA I,TUNGGAL IDAMAN ABADI ,"Jl.Jend A. Yani No. 7, Jakarta Timur ",1-Feb-20,31-Jan-21,AKTIF,1
48,1808048,AREA JAWA I,WAHANA INTI NARENDRA,Kranggan I ,1-Feb-19,31-Dec-19,AKTIF,1
49,1808049,AREA JAWA I,WAHANA INTI NARENDRA,Site Kranggan III,16-Jan-19,31-Dec-19,AKTIF,1
50,1808050,AREA JAWA I,WAHANA INDO TRADA,Cabang Pulo Gadung,1-Jan-19,31-Dec-19,AKTIF,1
51,1808051,AREA JAWA I,"BANK PANIN, TBK",Jakarta,14-Jun-20,14-Jun-21,AKTIF,1
52,1808052,AREA JAWA I,ADI SARANA ARMADA ,Selindo,1-Jan-18,31-Dec-18,BERAKHIR,1
53,1808053,AREA JAWA I,ANUGRAH ARGON MEDICA ,Selindo,1-Jan-18,31-Dec-19,AKTIF,1
54,1808054,AREA JAWA I, ANUGERAH PHARMINDO LESTARI ,Selindo ,1-Apr-20,31-Jul-20,AKTIF,1
55,1808055,AREA JAWA I,CIMB NIAGA AUTO FINANCE,Selindo,1-Nov-18,31-Oct-20,AKTIF,1
56,1808056,AREA JAWA I,FEDERAL INTERNATIONAL FINANCE,Selindo,11-Jun-20,11-Jun-21,AKTIF,1
57,1808057,AREA JAWA I,FINANSIA MULTI FINANCE,Selindo,1-May-20,30-Apr-21,AKTIF,1
58,1808058,AREA JAWA I,MAYBANK INDONESIA FINANCE,Selindo,1-Jan-20,31-Dec-20,AKTIF,1
59,1808059,AREA JAWA I,MAXPOWER INDONESIA,Selindo,1-Jan-19,31-Dec-19,AKTIF,1
60,1808060,AREA JAWA I,"MITRA PINASTHIKA MUSTIKA FINANCE, TBK",Selindo,1-Jan-20,31-Dec-20,AKTIF,1
61,1808061,AREA JAWA I,PT MULTIFILLING MITRA INDONESIA,Selindo,1-Jan-19,31-Dec-19,AKTIF,1
62,1808062,AREA JAWA I,UNILEVER INDONESIA,Selindo,2-Jan-20,31-Dec-20,AKTIF,1
63,1808063,AREA JAWA I,PT BANK IBK,Selindo,1-Jan-19,31-Dec-19,AKTIF,1
64,1808064,AREA JAWA I,"BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN, TBK",Selindo,30-Mar-20,31-Mar-20,AKTIF,1
65,1808065,AREA JAWA I,"BANK PERMATA, TBK",Selindo,1-May-20,31-Dec-22,AKTIF,1
66,1808066,AREA JAWA I,"BANK PERMATA, TBK (JASA PATROLI PENGAMANAN)",Selindo,1-Jan-18,31-Dec-19,AKTIF,1
67,1808067,AREA JAWA I,BANK UOB INDONESIA,Selindo,1-Apr-19,31-Mar-21,AKTIF,1
68,1808068,AREA JAWA I,BANK COMMONWEALTH,Selindo,1-May-19,30-Apr-22,AKTIF,1
69,1808069,AREA JAWA I,BANK SAHABAT SAMPOERNA,Selindo,1-May-20,30-Apr-22,AKTIF,1
70,1808070,AREA JAWA I,"PT ADIRA DINAMIKA MULTI FINANCE, Tbk","Jawa I, Jawa II, Indonesia Timur",1-Jun-18,31-Dec-19,AKTIF,1
71,1808071,AREA JAWA I,ARDENDI JAYA SENTOSA,Jawa I dan Jawa II,1-Jan-20,31-Dec-20,AKTIF,1
72,1808072,AREA JAWA I,ASURANSI ALLIANZ LIFE INDONESIA ,"Kantor Pusat Jaksel, Denpasar, Medan, Bandung, Surabaya",1-Jul-18,31-Dec-19,AKTIF,1
73,1808073,AREA JAWA I,ASURANSI ALLIANZ UTAMA INDONESIA ,"Kanpus-Jaksel, Bali, Kantor Cabang Bali, Kebon Jeruk,",1-Jul-18,31-Dec-19,AKTIF,1
74,1808074,AREA JAWA I,ASURANSI ADIRA DINAMIKA,"Jawa I, Jawa III, Indonesia Timur",1-Apr-19,31-Mar-20,AKTIF,1
75,1808075,AREA JAWA I,BATUTUA TEMBAGA RAYA,Kinanti Building Lt 2 room 210 Jl. Epicentrum Tengah No. 3 Karet Kuningan-Setiabudi,1-Aug-19,31-Jul-20,AKTIF,1
76,1808076,AREA JAWA I,DEXA MEDICA,Wisma IWI Lt. 2 Jl. Aejuna Selatan Kav. 75 Jakarta Barat 11530,1-Jul-19,30-Jun-20,AKTIF,1
77,1808077,AREA JAWA I,DR. BIANTORO WANANDI,"Jalan Taman Wijayakusuma III No. 7 A Cilandak, Jakarta Selatan",1-Apr-20,1-Apr-21,AKTIF,1
78,1808078,AREA JAWA I,FERRON PAR PHARMACEUTICALS,Jl. Ir. Juanda Blok C4-6 No. 66 Ciputat Tanggerang 15419,1-Oct-19,30-Sep-20,AKTIF,1
