1,A-001,HEAD OFFICE,(021) 8013934,HO,"JL. DEWI SARTIKA NO. 4A - 4C, CILILITAN, KRAMATJATI, RT.11/RW.7, CILILITAN, JAKARTA TIMUR 13640",1
2,A-002,AREA SUMATERA,(061) 88813347,S,"JL. PERJUANGAN, KOMPLEK ELITE 2 NO. B4 KEL. TANJUNG REJO KEC. MEDAN SUNGGAL - MEDAN",1
3,A-003,AREA JAWA I,(021) 8013934,J1,"GRAHA BSP JL. DEWI SARTIKA NO. 4A, CILILITAN - JAKARTA TIMUR 13640",1
4,A-004,AREA JAWA II,811841898,J2,RUKO GRAHA PRATAMA JL. TAMAN GEDUNG BATU NO. 49B NGEMPLAK SIMONGAN SEMARANG BARAT,1
5,A-005,AREA JAWA III,(031) 8482743,J3,"JL. RAYA JEMURSARI NO. 15 A, SURABAYA 60234",1
6,A-006,AREA KALIMANTAN,(0542) 8510140,K,"PERUM. RENGGANIS BLOK. 12 C NO. 63 KEL. GUNUNG BAHAGIA BALIKPAPAN SELATAN, KALIMANTAN TIMUR",1
7,A-007,AREA INDONESIA TIMUR,(0411) 457843 / 2079324,IT,"JL. A.P. PETTARANI RUKO NEW ZAMRUD BLOK F 6 KEL. BUAKANA KEC. RAPPOCINI, MAKASSAR - SULAWESI SELATAN",1
8,A-008,NOTSET,NOTSET,NT,NOTSET,1
